threshold	precision	recall
0.05	0.3103448275862069	0.7941176470588235
0.1	0.32558139534883723	0.8235294117647058
0.15	0.37349397590361444	0.9117647058823529
0.2	0.37349397590361444	0.9117647058823529
0.25	0.37349397590361444	0.9117647058823529
0.3	0.37349397590361444	0.9117647058823529
0.35	0.3902439024390244	0.9411764705882353
0.4	0.3902439024390244	0.9411764705882353
0.45	0.4074074074074074	0.9705882352941176
0.5	0.4074074074074074	0.9705882352941176
0.55	0.4125			0.9705882352941176
0.6	0.4125			0.9705882352941176
0.65	0.4230769230769231	0.9705882352941176
0.7	0.4230769230769231	0.9705882352941176
0.75	0.4230769230769231	0.9705882352941176
0.8	0.42857142857142855	0.9705882352941176
0.85	0.4342105263157895	0.9705882352941176
0.9	0.4722222222222222	1.0
0.95	0.4927536231884058	1.0
