threshold	precision	recall
0.05	1.0	0.7941176470588235
0.1	1.0	0.8529411764705882
0.15	1.0	0.8823529411764706
0.2	1.0	0.9117647058823529
0.25	1.0	0.9117647058823529
0.3	1.0	0.9411764705882353
0.35	1.0	0.9705882352941176
0.4	1.0	0.9705882352941176
0.45	1.0	0.9705882352941176
0.5	1.0	0.9705882352941176
0.55	1.0	0.9705882352941176
0.6	0.9705882352941176	0.9705882352941176
0.65	0.8918918918918919	0.9705882352941176
0.7	0.8918918918918919	0.9705882352941176
0.75	0.8918918918918919	0.9705882352941176
0.8	0.868421052631579	0.9705882352941176
0.85	0.8461538461538461	0.9705882352941176
0.9	0.7906976744186046	1.0
0.95	0.7391304347826086	1.0
