n	test_error
50	0.061224489795918366
100	0.05069124423963134
150	0.05069124423963134
200	0.05069124423963134
250	0.05069124423963134
300	0.05069124423963134
350	0.05069124423963134
400	0.05069124423963134
450	0.051349572086899276
500	0.05069124423963134
550	0.051349572086899276
600	0.051349572086899276
650	0.051349572086899276
700	0.051349572086899276
750	0.051349572086899276
800	0.051349572086899276
850	0.051349572086899276
900	0.051349572086899276
950	0.051349572086899276
1000	0.051349572086899276
1050	0.051349572086899276
1100	0.051349572086899276
1150	0.051349572086899276
1200	0.051349572086899276
1250	0.051349572086899276
1300	0.051349572086899276
1350	0.051349572086899276
1400	0.051349572086899276
1450	0.051349572086899276
1500	0.051349572086899276
1550	0.051349572086899276
1600	0.051349572086899276
1650	0.051349572086899276
1700	0.051349572086899276
1750	0.051349572086899276
1800	0.051349572086899276
1850	0.051349572086899276
1900	0.051349572086899276
1950	0.051349572086899276
2000	0.051349572086899276
2050	0.051349572086899276
2100	0.051349572086899276
2150	0.051349572086899276
2200	0.051349572086899276
2250	0.051349572086899276
2300	0.051349572086899276
2350	0.051349572086899276
2400	0.051349572086899276
2450	0.051349572086899276
2500	0.051349572086899276
