n	test_error
50	0.06649111257406189
100	0.06254114549045425
150	0.06188281764318631
200	0.06056616194865043
250	0.059907834101382486
300	0.06056616194865043
350	0.059907834101382486
400	0.061224489795918366
450	0.06056616194865043
500	0.061224489795918366
550	0.06056616194865043
600	0.06188281764318631
650	0.061224489795918366
700	0.05924950625411455
750	0.059907834101382486
800	0.06056616194865043
850	0.06056616194865043
900	0.059907834101382486
950	0.059907834101382486
1000	0.06056616194865043
1050	0.061224489795918366
1100	0.06056616194865043
1150	0.06188281764318631
1200	0.06188281764318631
1250	0.061224489795918366
1300	0.061224489795918366
1350	0.061224489795918366
1400	0.061224489795918366
1450	0.061224489795918366
1500	0.061224489795918366
1550	0.061224489795918366
1600	0.061224489795918366
1650	0.061224489795918366
1700	0.061224489795918366
1750	0.061224489795918366
1800	0.061224489795918366
1850	0.061224489795918366
1900	0.061224489795918366
1950	0.061224489795918366
2000	0.061224489795918366
2050	0.061224489795918366
2100	0.061224489795918366
2150	0.061224489795918366
2200	0.061224489795918366
2250	0.061224489795918366
2300	0.061224489795918366
2350	0.061224489795918366
2400	0.061224489795918366
2450	0.061224489795918366
2500	0.061224489795918366
