n	test_error
50	0.052666227781435156
100	0.053982883475971036
150	0.053982883475971036
200	0.055299539170506916
250	0.053982883475971036
300	0.05464121132323897
350	0.05332455562870309
400	0.055299539170506916
450	0.05332455562870309
500	0.053982883475971036
550	0.053982883475971036
600	0.053982883475971036
650	0.05464121132323897
700	0.05464121132323897
750	0.05464121132323897
800	0.053982883475971036
850	0.053982883475971036
900	0.053982883475971036
950	0.05332455562870309
1000	0.053982883475971036
1050	0.053982883475971036
1100	0.053982883475971036
1150	0.052666227781435156
1200	0.05332455562870309
1250	0.05332455562870309
1300	0.05332455562870309
1350	0.05332455562870309
1400	0.053982883475971036
1450	0.053982883475971036
1500	0.05332455562870309
1550	0.053982883475971036
1600	0.05332455562870309
1650	0.05332455562870309
1700	0.05332455562870309
1750	0.052666227781435156
1800	0.052666227781435156
1850	0.052666227781435156
1900	0.05200789993416721
1950	0.052666227781435156
2000	0.052666227781435156
2050	0.052666227781435156
2100	0.052666227781435156
2150	0.052666227781435156
2200	0.05200789993416721
2250	0.05200789993416721
2300	0.05200789993416721
2350	0.05200789993416721
2400	0.05200789993416721
2450	0.05200789993416721
2500	0.05200789993416721
